308,420
308,482
316,546
329,607
347,666
379,719
422,764
472,796
531,805
589,794
640,760
682,715
712,663
728,605
738,546
746,484
749,425
343,383
372,355
416,351
459,361
499,379
562,382
599,362
641,351
684,353
714,378
525,425
526,469
526,512
526,557
475,580
498,591
524,598
550,591
574,582
387,429
411,419
439,420
465,435
437,440
409,439
584,435
612,420
640,420
666,429
641,440
613,441
453,674
477,658
504,645
525,651
545,644
576,654
608,671
580,697
550,708
527,710
505,709
477,699
468,675
505,671
525,672
546,670
592,672
547,672
526,674
505,673
